datum_von,jahr,halbjahr,verbrauchskategorie,strompreis_ohne_steuern_eur_kwh,strompreis_ohne_ust_eur_kwh,strompreis_gesamt_eur_kwh
2019-07-01,2019,2. Halbjahr,Unter 1000 kWh,0.2733,0.384,0.457
2019-07-01,2019,2. Halbjahr,1000 bis unter 2500 kWh,0.1621,0.2726,0.3244
2019-07-01,2019,2. Halbjahr,2500 bis unter 5000 kWh,0.1321,0.2418,0.2878
2019-07-01,2019,2. Halbjahr,5000 bis unter 15000 kWh,0.1139,0.2222,0.2644
2019-07-01,2019,2. Halbjahr,15000 kWh und mehr,0.0936,0.1992,0.237
2019-07-01,2019,2. Halbjahr,Insgesamt,0.1421,0.2514,0.2992
2020-01-01,2020,1. Halbjahr,Unter 1000 kWh,0.2851,0.4001,0.4752
2020-01-01,2020,1. Halbjahr,1000 bis unter 2500 kWh,0.1742,0.289,0.343
2020-01-01,2020,1. Halbjahr,2500 bis unter 5000 kWh,0.143,0.2564,0.3043
2020-01-01,2020,1. Halbjahr,5000 bis unter 15000 kWh,0.1294,0.2414,0.2863
2020-01-01,2020,1. Halbjahr,15000 kWh und mehr,0.1085,0.2174,0.2579
2020-01-01,2020,1. Halbjahr,Insgesamt,0.1558,0.2692,0.3194
2020-07-01,2020,2. Halbjahr,Unter 1000 kWh,0.2638,0.381,0.442
2020-07-01,2020,2. Halbjahr,1000 bis unter 2500 kWh,0.1723,0.2881,0.3343
2020-07-01,2020,2. Halbjahr,2500 bis unter 5000 kWh,0.1451,0.2591,0.3006
2020-07-01,2020,2. Halbjahr,5000 bis unter 15000 kWh,0.1289,0.2414,0.28
2020-07-01,2020,2. Halbjahr,15000 kWh und mehr,0.1077,0.2169,0.2523
2020-07-01,2020,2. Halbjahr,Insgesamt,0.1545,0.2685,0.3116
2021-01-01,2021,1. Halbjahr,Unter 1000 kWh,0.2725,0.387,0.4606
2021-01-01,2021,1. Halbjahr,1000 bis unter 2500 kWh,0.1827,0.2964,0.3527
2021-01-01,2021,1. Halbjahr,2500 bis unter 5000 kWh,0.1562,0.2684,0.3193
2021-01-01,2021,1. Halbjahr,5000 bis unter 15000 kWh,0.1357,0.2458,0.2924
2021-01-01,2021,1. Halbjahr,15000 kWh und mehr,0.108,0.2142,0.2549
2021-01-01,2021,1. Halbjahr,Insgesamt,0.1623,0.2741,0.3262
2021-07-01,2021,2. Halbjahr,Unter 1000 kWh,0.2852,0.3997,0.4756
2021-07-01,2021,2. Halbjahr,1000 bis unter 2500 kWh,0.1877,0.3015,0.3588
2021-07-01,2021,2. Halbjahr,2500 bis unter 5000 kWh,0.1596,0.2718,0.3234
2021-07-01,2021,2. Halbjahr,5000 bis unter 15000 kWh,0.1377,0.2472,0.2941
2021-07-01,2021,2. Halbjahr,15000 kWh und mehr,0.1058,0.2109,0.251
2021-07-01,2021,2. Halbjahr,Insgesamt,0.1647,0.2763,0.3287
2022-01-01,2022,1. Halbjahr,Unter 1000 kWh,0.3147,0.4029,0.4795
2022-01-01,2022,1. Halbjahr,1000 bis unter 2500 kWh,0.2188,0.3061,0.3643
2022-01-01,2022,1. Halbjahr,2500 bis unter 5000 kWh,0.1899,0.2756,0.3279
2022-01-01,2022,1. Halbjahr,5000 bis unter 15000 kWh,0.1682,0.2517,0.2994
2022-01-01,2022,1. Halbjahr,15000 kWh und mehr,0.147,0.2272,0.2703
2022-01-01,2022,1. Halbjahr,Insgesamt,0.1963,0.2816,0.335
2022-07-01,2022,2. Halbjahr,Unter 1000 kWh,0.383,0.434,0.5164
2022-07-01,2022,2. Halbjahr,1000 bis unter 2500 kWh,0.2637,0.3141,0.3738
2022-07-01,2022,2. Halbjahr,2500 bis unter 5000 kWh,0.2333,0.2822,0.3357
2022-07-01,2022,2. Halbjahr,5000 bis unter 15000 kWh,0.2092,0.2557,0.3042
2022-07-01,2022,2. Halbjahr,15000 kWh und mehr,0.2017,0.2469,0.2938
2022-07-01,2022,2. Halbjahr,Insgesamt,0.2452,0.2938,0.3496
2023-01-01,2023,1. Halbjahr,Unter 1000 kWh,0.4304,0.4825,0.5741
2023-01-01,2023,1. Halbjahr,1000 bis unter 2500 kWh,0.3302,0.3812,0.4536
2023-01-01,2023,1. Halbjahr,2500 bis unter 5000 kWh,0.2973,0.3467,0.4125
2023-01-01,2023,1. Halbjahr,5000 bis unter 15000 kWh,0.277,0.3236,0.385
2023-01-01,2023,1. Halbjahr,15000 kWh und mehr,0.2497,0.2928,0.3484
2023-01-01,2023,1. Halbjahr,Insgesamt,0.3066,0.3554,0.4229
2023-07-01,2023,2. Halbjahr,Unter 1000 kWh,0.4335,0.4857,0.5779
2023-07-01,2023,2. Halbjahr,1000 bis unter 2500 kWh,0.3234,0.3747,0.4458
2023-07-01,2023,2. Halbjahr,2500 bis unter 5000 kWh,0.2882,0.3379,0.402
2023-07-01,2023,2. Halbjahr,5000 bis unter 15000 kWh,0.2695,0.3166,0.3767
2023-07-01,2023,2. Halbjahr,15000 kWh und mehr,0.2441,0.288,0.3427
2023-07-01,2023,2. Halbjahr,Insgesamt,0.3016,0.3509,0.4175
2024-01-01,2024,1. Halbjahr,Unter 1000 kWh,0.4333,0.4877,0.5803
2024-01-01,2024,1. Halbjahr,1000 bis unter 2500 kWh,0.3185,0.3717,0.4423
2024-01-01,2024,1. Halbjahr,2500 bis unter 5000 kWh,0.2806,0.332,0.3951
2024-01-01,2024,1. Halbjahr,5000 bis unter 15000 kWh,0.2551,0.3037,0.3611
2024-01-01,2024,1. Halbjahr,15000 kWh und mehr,0.2418,0.2902,0.3453
2024-01-01,2024,1. Halbjahr,Insgesamt,0.2935,0.3448,0.4102
2024-07-01,2024,2. Halbjahr,Unter 1000 kWh,0.4402,0.4947,0.5887
2024-07-01,2024,2. Halbjahr,1000 bis unter 2500 kWh,0.3192,0.3726,0.4433
2024-07-01,2024,2. Halbjahr,2500 bis unter 5000 kWh,0.2797,0.3314,0.3943
2024-07-01,2024,2. Halbjahr,5000 bis unter 15000 kWh,0.2547,0.3038,0.3614
2024-07-01,2024,2. Halbjahr,15000 kWh und mehr,0.2343,0.2833,0.337
2024-07-01,2024,2. Halbjahr,Insgesamt,0.2946,0.3463,0.412
2025-01-01,2025,1. Halbjahr,Unter 1000 kWh,0.4267,0.4921,0.5856
2025-01-01,2025,1. Halbjahr,1000 bis unter 2500 kWh,0.301,0.3653,0.4347
2025-01-01,2025,1. Halbjahr,2500 bis unter 5000 kWh,0.2598,0.3223,0.3835
2025-01-01,2025,1. Halbjahr,5000 bis unter 15000 kWh,0.2296,0.2888,0.3436
2025-01-01,2025,1. Halbjahr,15000 kWh und mehr,0.2159,0.2746,0.3267
2025-01-01,2025,1. Halbjahr,Insgesamt,0.2733,0.3355,0.3992
2025-07-01,2025,2. Halbjahr,Unter 1000 kWh,0.4345,0.4999,0.5949
2025-07-01,2025,2. Halbjahr,1000 bis unter 2500 kWh,0.3039,0.3683,0.4383
2025-07-01,2025,2. Halbjahr,2500 bis unter 5000 kWh,0.2625,0.3252,0.3869
2025-07-01,2025,2. Halbjahr,5000 bis unter 15000 kWh,0.2325,0.2922,0.3476
2025-07-01,2025,2. Halbjahr,15000 kWh und mehr,0.2168,0.2759,0.3283
2025-07-01,2025,2. Halbjahr,Insgesamt,0.2782,0.3408,0.4055
