"jahr","energietraeger","erzeugung_mwh","anteil_am_strommix"
2019,"Biomasse","39478585.50","7.57"
2019,"Braunkohle","102728678.00","19.70"
2019,"Erdgas","54619705.25","10.48"
2019,"Kernenergie","71042164.25","13.63"
2019,"Photovoltaik","41706959.00","8.00"
2019,"Pumpspeicher","8610896.75","1.65"
2019,"Sonstige Erneuerbare","1557516.00","0.30"
2019,"Sonstige Konventionelle","13225241.75","2.54"
2019,"Steinkohle","47815284.50","9.17"
2019,"Wasserkraft","16471220.75","3.16"
2019,"Wind offshore","24382827.00","4.68"
2019,"Wind onshore","99728308.00","19.13"
2020,"Biomasse","39966301.25","7.94"
2020,"Braunkohle","83374010.00","16.55"
2020,"Erdgas","67621507.50","13.43"
2020,"Kernenergie","60923886.25","12.10"
2020,"Photovoltaik","45784303.00","9.09"
2020,"Pumpspeicher","10817558.75","2.15"
2020,"Sonstige Erneuerbare","1602116.50","0.32"
2020,"Sonstige Konventionelle","12753899.75","2.53"
2020,"Steinkohle","34871983.75","6.92"
2020,"Wasserkraft","15945659.50","3.17"
2020,"Wind offshore","26883159.25","5.34"
2020,"Wind onshore","103083181.75","20.47"
2021,"Biomasse","38235128.00","7.48"
2021,"Braunkohle","98202233.25","19.21"
2021,"Erdgas","60120638.75","11.76"
2021,"Kernenergie","65405986.50","12.79"
2021,"Photovoltaik","46230946.00","9.04"
2021,"Pumpspeicher","8264355.00","1.62"
2021,"Sonstige Erneuerbare","1431867.00","0.28"
2021,"Sonstige Konventionelle","13098558.75","2.56"
2021,"Steinkohle","51841756.25","10.14"
2021,"Wasserkraft","14888434.25","2.91"
2021,"Wind offshore","24010320.50","4.70"
2021,"Wind onshore","89565107.75","17.52"
2022,"Biomasse","37738237.75","7.55"
2022,"Braunkohle","103525587.00","20.71"
2022,"Erdgas","45778264.00","9.16"
2022,"Kernenergie","32824469.50","6.57"
2022,"Photovoltaik","55727425.00","11.15"
2022,"Pumpspeicher","10153823.50","2.03"
2022,"Sonstige Erneuerbare","1290692.75","0.26"
2022,"Sonstige Konventionelle","11515547.00","2.30"
2022,"Steinkohle","62889869.75","12.58"
2022,"Wasserkraft","12804450.00","2.56"
2022,"Wind offshore","24747841.00","4.95"
2022,"Wind onshore","100985268.50","20.20"
2023,"Biomasse","37295318.00","8.22"
2023,"Braunkohle","77844056.25","17.16"
2023,"Erdgas","51089841.00","11.26"
2023,"Kernenergie","6740739.25","1.49"
2023,"Photovoltaik","55544029.25","12.25"
2023,"Pumpspeicher","10175978.25","2.24"
2023,"Sonstige Erneuerbare","1205180.75","0.27"
2023,"Sonstige Konventionelle","16358340.75","3.61"
2023,"Steinkohle","39750012.75","8.76"
2023,"Wasserkraft","15019800.25","3.31"
2023,"Wind offshore","23519929.50","5.19"
2023,"Wind onshore","119007113.50","26.24"
2024,"Biomasse","36197008.25","8.27"
2024,"Braunkohle","70986354.25","16.22"
2024,"Erdgas","56916481.25","13.00"
2024,"Kernenergie","0.0","0.00"
2024,"Photovoltaik","63148433.00","14.43"
2024,"Pumpspeicher","10390692.75","2.37"
2024,"Sonstige Erneuerbare","1058739.25","0.24"
2024,"Sonstige Konventionelle","15840636.50","3.62"
2024,"Steinkohle","27336318.75","6.25"
2024,"Wasserkraft","17551916.00","4.01"
2024,"Wind offshore","25667479.75","5.86"
2024,"Wind onshore","112560417.00","25.72"
2025,"Biomasse","35874137.07","8.19"
2025,"Braunkohle","67166353.67","15.34"
2025,"Erdgas","60547354.30","13.83"
2025,"Kernenergie","0.0","0.00"
2025,"Photovoltaik","73783830.19","16.85"
2025,"Pumpspeicher","9893544.86","2.26"
2025,"Sonstige Erneuerbare","953117.01","0.22"
2025,"Sonstige Konventionelle","14374131.25","3.28"
2025,"Steinkohle","28157407.91","6.43"
2025,"Wasserkraft","14182884.26","3.24"
2025,"Wind offshore","26194568.67","5.98"
2025,"Wind onshore","106767892.39","24.38"
