datum_von,datum_bis,energietraeger,erzeugung_mwh,jahr,monat
2019-01-01,2019-02-01,Biomasse,3550046.75,2019,1
2019-01-01,2019-02-01,Braunkohle,9862384.25,2019,1
2019-01-01,2019-02-01,Erdgas,5740661.5,2019,1
2019-01-01,2019-02-01,Kernenergie,6821064.0,2019,1
2019-01-01,2019-02-01,Photovoltaik,728156.75,2019,1
2019-01-01,2019-02-01,Pumpspeicher,824704.25,2019,1
2019-01-01,2019-02-01,Sonstige Erneuerbare,136702.5,2019,1
2019-01-01,2019-02-01,Sonstige Konventionelle,1222620.5,2019,1
2019-01-01,2019-02-01,Steinkohle,7549348.25,2019,1
2019-01-01,2019-02-01,Wasserkraft,1200910.75,2019,1
2019-01-01,2019-02-01,Wind offshore,2213086.5,2019,1
2019-01-01,2019-02-01,Wind onshore,12522275.25,2019,1
2019-02-01,2019-03-01,Biomasse,3215899.5,2019,2
2019-02-01,2019-03-01,Braunkohle,9835908.5,2019,2
2019-02-01,2019-03-01,Erdgas,4474908.25,2019,2
2019-02-01,2019-03-01,Kernenergie,6196593.0,2019,2
2019-02-01,2019-03-01,Photovoltaik,2184288.25,2019,2
2019-02-01,2019-03-01,Pumpspeicher,655388.5,2019,2
2019-02-01,2019-03-01,Sonstige Erneuerbare,137206.75,2019,2
2019-02-01,2019-03-01,Sonstige Konventionelle,1207127.0,2019,2
2019-02-01,2019-03-01,Steinkohle,5566684.0,2019,2
2019-02-01,2019-03-01,Wasserkraft,1032343.75,2019,2
2019-02-01,2019-03-01,Wind offshore,1938096.25,2019,2
2019-02-01,2019-03-01,Wind onshore,8892392.75,2019,2
2019-03-01,2019-04-01,Biomasse,3481646.5,2019,3
2019-03-01,2019-04-01,Braunkohle,8298238.75,2019,3
2019-03-01,2019-04-01,Erdgas,3647710.75,2019,3
2019-03-01,2019-04-01,Kernenergie,6713072.25,2019,3
2019-03-01,2019-04-01,Photovoltaik,3020968.75,2019,3
2019-03-01,2019-04-01,Pumpspeicher,788373.0,2019,3
2019-03-01,2019-04-01,Sonstige Erneuerbare,145525.5,2019,3
2019-03-01,2019-04-01,Sonstige Konventionelle,1159437.75,2019,3
2019-03-01,2019-04-01,Steinkohle,3119376.25,2019,3
2019-03-01,2019-04-01,Wasserkraft,1384887.5,2019,3
2019-03-01,2019-04-01,Wind offshore,2540870.25,2019,3
2019-03-01,2019-04-01,Wind onshore,13696172.5,2019,3
2019-04-01,2019-05-01,Biomasse,3324551.25,2019,4
2019-04-01,2019-05-01,Braunkohle,9075669.75,2019,4
2019-04-01,2019-05-01,Erdgas,3643917.25,2019,4
2019-04-01,2019-05-01,Kernenergie,5692459.75,2019,4
2019-04-01,2019-05-01,Photovoltaik,5015643.0,2019,4
2019-04-01,2019-05-01,Pumpspeicher,753675.0,2019,4
2019-04-01,2019-05-01,Sonstige Erneuerbare,132009.25,2019,4
2019-04-01,2019-05-01,Sonstige Konventionelle,1029269.25,2019,4
2019-04-01,2019-05-01,Steinkohle,3411070.0,2019,4
2019-04-01,2019-05-01,Wasserkraft,1359297.25,2019,4
2019-04-01,2019-05-01,Wind offshore,1707845.5,2019,4
