datum_von,datum_bis,jahr,monat,land,handelsart,handelsmenge_mwh,handelsmenge_abs_mwh,ist_gesamt
2019-01-01,2019-02-01,2019,1,Daenemark,Export,760895.0,760895.0,False
2019-01-01,2019-02-01,2019,1,Daenemark,Import,-499622.0,499622.0,False
2019-01-01,2019-02-01,2019,1,Frankreich,Export,2574351.0,2574351.0,False
2019-01-01,2019-02-01,2019,1,Frankreich,Import,-64918.0,64918.0,False
2019-01-01,2019-02-01,2019,1,Gesamt,Nettoexport,7423495.0,7423495.0,True
2019-01-01,2019-02-01,2019,1,Luxemburg,Export,378907.0,378907.0,False
2019-01-01,2019-02-01,2019,1,Luxemburg,Import,0.0,0.0,False
2019-01-01,2019-02-01,2019,1,Niederlande,Export,876341.0,876341.0,False
2019-01-01,2019-02-01,2019,1,Niederlande,Import,-80756.0,80756.0,False
2019-01-01,2019-02-01,2019,1,Oesterreich,Export,2411084.0,2411084.0,False
2019-01-01,2019-02-01,2019,1,Oesterreich,Import,-13297.0,13297.0,False
2019-01-01,2019-02-01,2019,1,Polen,Export,129630.0,129630.0,False
2019-01-01,2019-02-01,2019,1,Polen,Import,-82079.0,82079.0,False
2019-01-01,2019-02-01,2019,1,Schweden,Export,54254.0,54254.0,False
2019-01-01,2019-02-01,2019,1,Schweden,Import,-83698.0,83698.0,False
2019-01-01,2019-02-01,2019,1,Schweiz,Export,733321.0,733321.0,False
2019-01-01,2019-02-01,2019,1,Schweiz,Import,-42846.0,42846.0,False
2019-01-01,2019-02-01,2019,1,Tschechien,Export,805788.0,805788.0,False
2019-01-01,2019-02-01,2019,1,Tschechien,Import,-433860.0,433860.0,False
2019-02-01,2019-03-01,2019,2,Daenemark,Export,527498.0,527498.0,False
2019-02-01,2019-03-01,2019,2,Daenemark,Import,-532928.0,532928.0,False
2019-02-01,2019-03-01,2019,2,Frankreich,Export,1525248.0,1525248.0,False
2019-02-01,2019-03-01,2019,2,Frankreich,Import,-192264.0,192264.0,False
2019-02-01,2019-03-01,2019,2,Gesamt,Nettoexport,5278410.0,5278410.0,True
2019-02-01,2019-03-01,2019,2,Luxemburg,Export,343710.0,343710.0,False
2019-02-01,2019-03-01,2019,2,Luxemburg,Import,0.0,0.0,False
2019-02-01,2019-03-01,2019,2,Niederlande,Export,878532.0,878532.0,False
2019-02-01,2019-03-01,2019,2,Niederlande,Import,-108943.0,108943.0,False
2019-02-01,2019-03-01,2019,2,Oesterreich,Export,2137681.0,2137681.0,False
2019-02-01,2019-03-01,2019,2,Oesterreich,Import,-5595.0,5595.0,False
2019-02-01,2019-03-01,2019,2,Polen,Export,141733.0,141733.0,False
2019-02-01,2019-03-01,2019,2,Polen,Import,-38414.0,38414.0,False
2019-02-01,2019-03-01,2019,2,Schweden,Export,55536.0,55536.0,False
